coefficients,signature,discriminant
"[1, -7, -8, -3, -4]",[2],-1760871
"[1, -7, -8, -3, -2]","[2, 1]",-350191
"[1, -7, -8, -3, -1]",[2],-50724
"[1, -7, -8, -3, 1]",[2],-255856
"[1, -7, -8, -3, 2]",[1],-757383
"[1, -7, -8, -3, 3]",[1],-1522836
"[1, -7, -8, -3, 4]",[1],-2550679
"[1, -7, -8, -3, 5]","[0, 1]",-3839376
"[1, -7, -8, -3, 6]",[1],-5387391
"[1, -7, -8, -3, 7]",[1],-7193188
"[1, -7, -8, -3, 8]","[1, 0]",-9255231
"[1, -7, -8, -2, -8]",[1],-8504848
"[1, -7, -8, -2, -7]",[1],-6489619
"[1, -7, -8, -2, -6]",[1],-4749452
"[1, -7, -8, -2, -5]",[1],-3282811
"[1, -7, -8, -2, -4]",[1],-2088160
"[1, -7, -8, -2, -3]",[2],-1163963
"[1, -7, -8, -2, -1]",[3],-120787
"[1, -7, -8, -2, 1]",[2],-140995
"[1, -7, -8, -2, 2]",[1],-546028
"[1, -7, -8, -2, 3]",[1],-1212299
"[1, -7, -8, -2, 4]",[1],-2138272
"[1, -7, -8, -2, 5]",[1],-3322411
"[1, -7, -8, -2, 6]",[1],-4763180
"[1, -7, -8, -2, 7]",[1],-6459043
"[1, -7, -8, -2, 8]",[1],-8408464
"[1, -7, -8, -1, -8]",[1],-9133879
"[1, -7, -8, -1, -7]",[1],-7049240
"[1, -7, -8, -1, -6]",[1],-5236975
"[1, -7, -8, -1, -5]",[1],-3695548
"[1, -7, -8, -1, -4]",[1],-2423423
"[1, -7, -8, -1, -3]",[1],-1419064
"[1, -7, -8, -1, -2]",[2],-680935
"[1, -7, -8, -1, 1]",[2],-48568
"[1, -7, -8, -1, 2]",[1],-359999
"[1, -7, -8, -1, 3]",[1],-929980
"[1, -7, -8, -1, 4]",[1],-1756975
"[1, -7, -8, -1, 5]",[1],-2839448
"[1, -7, -8, -1, 6]","[0, 1]",-4175863
"[1, -7, -8, -1, 7]",[2],-5764684
"[1, -7, -8, 0, -8]",[1],-9744064
"[1, -7, -8, 0, -7]",[1],-7592907
"[1, -7, -8, 0, -6]",[1],-5711436
"[1, -7, -8, 0, -5]",[1],-4098115
"[1, -7, -8, 0, -4]",[1],-2751408
"[1, -7, -8, 0, -3]",[1],-1669779
"[1, -7, -8, 0, -2]",[1],-851692
"[1, -7, -8, 0, -1]",[4],-295611
"[1, -7, -8, 0, 1]","[5, 1]",36677
"[1, -7, -8, 0, 2]",[1],-184044
"[1, -7, -8, 0, 3]",[1],-660627
"[1, -7, -8, 0, 4]",[1],-1391536
"[1, -7, -8, 0, 5]",[1],-2375235
"[1, -7, -8, 0, 6]",[1],-3610188
"[1, -7, -8, 0, 7]",[1],-5094859
"[1, -7, -8, 0, 8]",[1],-6827712
"[1, -7, -8, 1, -7]",[2],-8106016
"[1, -7, -8, 1, -6]",[1],-6158231
"[1, -7, -8, 1, -5]",[1],-4475908
"[1, -7, -8, 1, -4]",[1],-3057511
"[1, -7, -8, 1, -3]",[1],-1901504
"[1, -7, -8, 1, -2]",[1],-1006351
"[1, -7, -8, 1, -1]",[2],-370516
"[1, -7, -8, 1, 2]","[2, 0]",-3559
"[1, -7, -8, 1, 3]",[1],-389636
"[1, -7, -8, 1, 4]",[1],-1027351
"[1, -7, -8, 1, 5]",[1],-1915168
"[1, -7, -8, 1, 6]",[1],-3051551
"[1, -7, -8, 1, 7]",[1],-4434964
