coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, -7, -8, -3, -4]",[2],-1760871,S_4,1,True
"[1, -7, -8, -3, -2]","[2, 1]",-350191,S_4,1,True
"[1, -7, -8, -3, -1]",[2],-50724,S_4,1/9,False
"[1, -7, -8, -3, 1]",[2],-255856,S_4,1/16,False
"[1, -7, -8, -3, 2]",[1],-757383,S_4,1,True
"[1, -7, -8, -3, 3]",[1],-1522836,S_4,1,True
"[1, -7, -8, -3, 4]",[1],-2550679,S_4,1,True
"[1, -7, -8, -3, 5]","[0, 1]",-3839376,S_4,1/4,False
"[1, -7, -8, -3, 6]",[1],-5387391,S_4,1/9,False
"[1, -7, -8, -3, 7]",[1],-7193188,S_4,1,True
"[1, -7, -8, -3, 8]","[1, 0]",-9255231,S_4,1/9,False
"[1, -7, -8, -2, -8]",[1],-8504848,S_4,1/4,False
"[1, -7, -8, -2, -7]",[1],-6489619,S_4,1,True
"[1, -7, -8, -2, -6]",[1],-4749452,S_4,1,True
"[1, -7, -8, -2, -5]",[1],-3282811,S_4,1,True
"[1, -7, -8, -2, -4]",[1],-2088160,S_4,1/4,False
"[1, -7, -8, -2, -3]",[2],-1163963,S_4,1,True
"[1, -7, -8, -2, -1]",[3],-120787,D_4,1,True
"[1, -7, -8, -2, 1]",[2],-140995,S_4,1,True
"[1, -7, -8, -2, 2]",[1],-546028,S_4,1,True
"[1, -7, -8, -2, 3]",[1],-1212299,S_4,1,True
"[1, -7, -8, -2, 4]",[1],-2138272,S_4,1/4,False
"[1, -7, -8, -2, 5]",[1],-3322411,S_4,1,True
"[1, -7, -8, -2, 6]",[1],-4763180,S_4,1,True
"[1, -7, -8, -2, 7]",[1],-6459043,S_4,1,True
"[1, -7, -8, -2, 8]",[1],-8408464,S_4,1/4,False
"[1, -7, -8, -1, -8]",[1],-9133879,S_4,1,True
"[1, -7, -8, -1, -7]",[1],-7049240,S_4,1,True
"[1, -7, -8, -1, -6]",[1],-5236975,S_4,1,True
"[1, -7, -8, -1, -5]",[1],-3695548,S_4,1/4,False
"[1, -7, -8, -1, -4]",[1],-2423423,S_4,1,True
"[1, -7, -8, -1, -3]",[1],-1419064,S_4,1,True
"[1, -7, -8, -1, -2]",[2],-680935,S_4,1,True
"[1, -7, -8, -1, 1]",[2],-48568,S_4,1,True
"[1, -7, -8, -1, 2]",[1],-359999,S_4,1,True
"[1, -7, -8, -1, 3]",[1],-929980,S_4,1/4,False
"[1, -7, -8, -1, 4]",[1],-1756975,S_4,1,True
"[1, -7, -8, -1, 5]",[1],-2839448,S_4,1,True
"[1, -7, -8, -1, 6]","[0, 1]",-4175863,S_4,1,True
"[1, -7, -8, -1, 7]",[2],-5764684,S_4,1/4,False
"[1, -7, -8, 0, -8]",[1],-9744064,S_4,1/64,False
"[1, -7, -8, 0, -7]",[1],-7592907,S_4,1,True
"[1, -7, -8, 0, -6]",[1],-5711436,S_4,1,True
"[1, -7, -8, 0, -5]",[1],-4098115,S_4,1,True
"[1, -7, -8, 0, -4]",[1],-2751408,S_4,1/324,False
"[1, -7, -8, 0, -3]",[1],-1669779,S_4,1,True
