coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, -12, -11, -17, 22]",[1],-611366983,S_4,1,True
"[1, -19, 10, 19, -3]",[1],212655028,S_4,1/4,False
"[1, -19, -6, -5, -15]",[1],-815431100,S_4,1/4,False
"[1, 32, 27, 29, -18]",[1],-16253894839,S_4,1,True
"[1, 5, -29, -30, 9]",[2],350003025,S_4,1/9,False
"[1, 30, -18, -3, 30]",[1],-20255979555,S_4,1,True
"[1, -5, -9, -18, -22]",[1],-21586792,S_4,1,True
"[1, 8, -19, -8, -9]",[1],-82516752,S_4,1/9,False
"[1, 12, 32, 10, 18]",[1],-42276272,S_4,1,True
"[1, 4, 5, -1, 27]",[1],6756249,S_4,1,True
"[1, -17, 10, 20, 7]",[1],-61633915,S_4,1,True
"[1, 22, 26, -19, 9]",[1],-941525931,S_4,1,True
"[1, -32, -8, 4, 9]",[1],-2183334400,S_4,1,True
"[1, -7, -2, -10, -4]","[0, 1]",-2564816,S_4,1/4,False
"[1, -20, 22, -8, 2]",[1],-3536384,S_4,1,True
"[1, 24, -1, -32, -32]",[1],-7455904256,S_4,1/64,False
"[1, -15, -10, 16, 20]",[1],-349905072,S_4,1/4,False
"[1, 32, 22, -32, -28]",[1],-3519659008,S_4,1/16,False
"[1, 22, 11, 3, -23]",[1],-3035510831,S_4,1,True
"[1, -22, 1, -8, -5]",[1],-185647984,S_4,1/16,False
"[1, -13, 30, 7, 8]","[1, 0]",-61110639,S_4,1/9,False
"[1, -31, -5, -9, -23]",[1],-13108273987,S_4,1,True
"[1, 13, 19, -11, -16]",[1],28209172,S_4,1,True
"[1, 28, -8, 7, -24]",[1],-9616369531,S_4,1,True
"[1, -16, -12, -16, 12]",[1],-589692928,S_4,1/64,False
"[1, -20, 25, 31, 10]",[1],-425362567,S_4,1,True
"[1, -13, 19, 1, 7]",[1],-37625899,S_4,1,True
"[1, -18, -28, -25, 28]",[1],-5570696747,S_4,1,True
"[1, 19, -32, -8, -13]",[1],-2242322819,S_4,1,True
"[1, -18, -8, -18, -32]",[1],-2966096304,S_4,1/4,False
"[1, 0, 2, 22, -29]",[1],-17064368,S_4,1/4,False
"[1, -3, 32, 9, -31]",[1],-661268176,S_4,1/4,False
"[1, 18, -30, -10, 28]",[1],-734549936,S_4,1/4,False
"[1, -18, -9, -23, -15]",[1],-688575735,S_4,1/9,False
"[1, 16, -18, -11, 26]",[1],-920129675,S_4,1,True
"[1, -14, -29, 4, 32]",[1],-710569088,S_4,1/16,False
"[1, -7, -4, -12, 12]",[1],-25376304,S_4,1/4,False
"[1, 21, -8, 6, -26]",[1],-3723906924,S_4,1,True
"[1, -9, -2, -12, -18]",[1],-71192844,S_4,1/81,False
"[1, 17, -5, 18, 5]",[1],-233018631,S_4,1/9,False
"[1, -1, -6, -25, -8]",[1],-7749783,S_4,1,True
"[1, 9, -13, 5, -13]",[1],-56755563,S_4,1,True
"[1, 13, -3, -12, 22]",[1],-346191908,S_4,1,True
"[1, -26, 23, -8, 30]",[1],-8562107648,S_4,1/4,False
"[1, 32, 18, 0, -18]",[1],-7928160768,S_4,1/9,False
"[1, -11, 11, 8, -28]",[1],-116953504,S_4,1/4,False
"[1, 5, -24, 26, -28]",[1],-87980000,S_4,1/100,False
"[1, -25, -30, -25, 12]",[1],-4886215807,S_4,1,True
"[1, 16, 0, 9, -20]",[1],-730528763,S_4,1/841,False
"[1, -15, 31, 4, 6]",[1],-104568628,S_4,1,True
"[1, -8, 22, 14, -23]",[1],-52663984,S_4,1,True
"[1, -21, -9, -22, 16]",[1],-2517444716,S_4,1/4,False
"[1, -22, 32, 17, 4]",[1],-295536219,S_4,1,True
"[1, -30, -13, 13, 22]",[1],-9012939239,S_4,1,True
"[1, 10, -9, -15, -7]",[1],-22289647,S_4,1,True
"[1, 20, -6, 5, 12]",[1],-730616827,S_4,1,True
"[1, 14, -31, -21, 16]",[1],1245287593,S_4,1,True
"[1, 14, -24, -1, 16]",[1],-168334875,S_4,1,True
"[1, -2, -9, -12, -22]",[1],-8021632,S_4,1/16,False
"[1, -5, -8, 3, 24]",[1],-20106351,S_4,1,True
"[1, 10, -32, 10, 1]",[2],27848000,D_4,1/25,False
"[1, -16, -6, 16, 6]",[3],49649152,S_4,1/49,False
"[1, 5, -25, -16, 27]",[1],226816441,S_4,1,True
"[1, 1, 26, 9, 5]",[1],27747676,S_4,1,True
"[1, -13, 30, 14, -31]",[3],140869525,S_4,1,True
"[1, -3, -1, 2, -16]",[1],-1688556,S_4,1/4,False
"[1, -28, -31, 21, 22]",[2],554189161,S_4,1,True
"[1, -23, 10, 0, -18]",[1],-2171671020,S_4,1/9,False
"[1, -26, 4, -13, 23]",[1],-6151625971,S_4,1,True
"[1, -25, 5, -13, 31]",[2],-9367779171,S_4,1,True
"[1, -29, -29, -3, 14]",[1],-3761516268,S_4,1/9,False
"[1, 28, 26, 14, 7]",[1],-270681264,S_4,1/324,False
"[1, -6, 16, 20, -10]",[1],-35606720,S_4,1,True
"[1, 10, -12, -2, -10]",[1],-62621744,S_4,1,True
"[1, 27, 1, 13, -29]",[1],-12326668147,S_4,1,True
"[1, 30, 1, -14, 8]",[1],-1154526416,S_4,1/4,False
