coefficients,signature,discriminant
"[1, -34, -4, -29, -20]",[1],-16887806811
"[1, -21, -64, 55, -46]",[1],-78169164999
"[1, -42, 27, -1, 41]",[1],-133823372143
"[1, 51, -51, -28, 22]",[1],34597603516
"[1, -19, 23, 56, -24]",[1],5318312224
"[1, -1, -15, 63, 22]",[1],-454451468
"[1, 44, 58, -34, -27]",[1],62859545936
"[1, -39, -22, -54, 44]",[1],-226853833744
"[1, -16, -46, -16, 60]",[1],-9158902784
"[1, -61, -45, -13, 37]",[1],-586869185547
"[1, 52, 31, 45, 40]",[1],-220365121375
"[1, -26, -60, -13, -18]",[1],-13734450347
"[1, 41, 44, 3, -51]",[1],-152687319528
"[1, -9, -53, -36, -2]",[1],347564844
"[1, -38, 9, 47, -44]",[1],-63709639375
"[1, 30, 54, 28, -64]",[1],-70388935168
"[1, -28, 57, -2, 41]",[1],-33408768816
"[1, -25, -41, 2, 46]",[1],-19155261208
"[1, -35, 51, -18, -36]",[1],-42688526364
"[1, 28, -59, 48, 21]",[1],-29927342448
"[1, 63, 39, 44, -62]",[1],-2022110862980
"[1, -46, -43, 6, -54]",[1],-456927570000
"[1, 52, 9, -32, 23]",[1],-101112127952
"[1, 41, -18, 33, 62]",[1],-367106999575
"[1, 17, 63, -52, -24]",[1],893595632
"[1, -12, 27, 5, -22]",[2],34550033
"[1, -37, -29, -28, 24]",[1],-52719486928
"[1, 62, -11, 37, 40]",[1],-768359160319
"[1, -52, 7, -9, -1]",[2],-742287951
"[1, -19, 45, 3, -44]",[1],446135764
"[1, 0, -45, 34, 54]",[1],2808196992
"[1, -34, -54, -22, -16]",[1],-9240356912
"[1, -33, -63, -36, 41]",[1],-94707061591
"[1, 47, -46, 64, 53]",[1],-785834776963
"[1, 43, -24, -39, 51]",[1],-157810929804
"[1, -8, -1, 63, 34]",[1],56191897
"[1, 25, -24, 40, -36]",[1],-10561601200
"[1, -27, 64, 22, 3]",[1],-1027346587
"[1, 49, 1, 23, -31]",[1],-156456956563
"[1, -24, 56, 25, 21]",[1],-10147252283
"[1, 23, -39, -9, -53]",[1],-43896712811
"[1, -52, -53, -60, -20]",[1],-48690338560
"[1, -60, 50, 9, 12]",[1],-85521091659
"[1, 20, 42, -27, -23]",[1],3066272581
"[1, -62, 41, -39, -16]",[1],-228888113303
"[1, -6, 60, -40, -48]",[1],-7682273280
"[1, 19, -24, -58, -48]",[1],-14149530320
"[1, -13, -35, 3, -22]",[1],-2196710508
"[1, -20, -38, 51, -9]",[1],2945293029
"[1, 18, 33, 2, 40]",[1],-3240345488
"[1, -23, 54, 29, -58]",[1],11013032025
"[1, -44, -7, 44, -31]",[1],-83402252272
"[1, 25, -12, -61, 20]",[1],15014049705
"[1, 17, -29, 19, 44]",[1],-8540784688
"[1, 11, -26, -9, -21]",[1],-941228928
"[1, -7, 36, 13, -7]",[1],-202327632
"[1, -24, -49, 46, 24]",[1],30427315552
"[1, 30, -56, 63, 14]",[1],-47196713515
"[1, 2, 38, 56, -6]",[1],-929444288
"[1, -31, 10, -34, -35]",[1],-39300871123
"[1, 59, 20, 49, 59]",[1],-997755024700
"[1, -30, 2, -62, 44]",[1],-66616804656
"[1, -6, 27, 43, 39]",[1],652406697
"[1, 63, 52, -49, -56]",[1],-379435993111
"[1, 10, -33, -27, -11]",[1],-494714831
"[1, -31, -50, 4, -58]",[1],-149463975916
"[1, 15, 10, -42, -11]",[1],866945997
"[1, -27, 55, -60, -1]",[2],-6499772023
"[1, -3, 34, 58, -2]",[1],-1239643372
"[1, 42, -4, -23, 54]",[1],-237329873531
"[1, -11, 5, 3, 41]",[1],-509110283
"[1, -56, -36, 47, 23]",[1],79227325989
"[1, -2, 54, 16, -51]",[1],-8362457392
"[1, 21, -51, 22, -22]",[1],-5303066296
"[1, -34, 42, -15, -2]",[1],-332219075
"[1, 25, 19, -36, -12]",[1],3666985488
"[1, -15, -55, -12, -16]",[1],-4149359728
"[1, -29, -64, 44, 25]",[1],72229452741
"[1, -42, 47, -34, 6]",[1],-1558840496
"[1, -42, 3, -41, -31]",[1],-105163288303
"[1, 14, -49, -59, -51]",[1],-22297089591
"[1, -64, -54, -50, 6]",[1],-190181653808
"[1, -14, -43, 5, 19]",[1],1746979569
"[1, 42, -43, 21, 12]",[1],-23918010279
"[1, 51, -61, 34, 61]",[1],-956221767023
"[1, -60, -37, 39, 45]",[1],-389157846255
"[1, -47, 56, 6, -14]",[1],5227434196
"[1, -27, 57, 63, 15]",[1],-897138531
"[1, 19, -64, -46, 4]",[1],15003520992
