coefficients,signature,discriminant,type_I,2-monogen,number
"[1, -7, -6, -8, -6]","[1, 1]",-2686028,False,True,2
"[1, -7, -6, -6, 2]","[1, 1]",-1521004,False,True,2
"[1, -7, -5, -5, -6]","[1, 1]",-2949068,False,True,2
"[1, -7, -5, 8, -7]","[1, 1]",-5898119,False,True,2
"[1, -7, -4, -6, -6]","[1, 1]",-2872236,False,True,2
"[1, -7, -4, -6, 2]","[1, 1]",-1246604,False,True,2
"[1, -7, -3, -2, -3]","[1, 1]",-697343,False,True,2
"[1, -7, 6, -1, -8]","[1, 1]",-1917999,False,True,2
"[1, -7, 6, 7, -2]","[1, 1]",341465,False,True,2
"[1, -7, 7, -6, -5]","[1, 1]",-1337863,False,True,2
"[1, -7, 7, -5, 6]","[1, 1]",-612908,False,True,2
"[1, -7, 7, -2, 5]","[1, 1]",-550111,False,True,2
"[1, -7, 8, -8, 2]","[1, 1]",-77548,False,True,2
"[1, -7, 8, -6, 8]","[1, 1]",-900944,False,True,2
"[1, -7, 8, -2, -2]","[1, 1]",-69516,False,True,2
"[1, -7, 8, 5, -4]","[0, 1, 1]",206329,False,True,2
"[1, -6, -7, 5, 3]","[0, 1, 1, 0]",557473,False,True,2
"[1, -6, -6, -8, -7]","[1, 1]",-2355376,False,True,2
"[1, -6, -5, -7, -5]","[1, 1]",-1124479,False,True,2
"[1, -6, -5, -5, 2]","[1, 1]",-740015,False,True,2
"[1, -5, -7, -2, -3]","[1, 1]",-450551,False,True,2
"[1, -5, -5, -7, -6]","[1, 1]",-990188,False,True,2
"[1, -5, -5, 8, 5]","[1, 1]",404033,False,True,2
"[1, -5, -4, -6, -4]","[1, 1]",-406688,False,True,2
"[1, -5, -4, -4, 2]","[1, 1]",-323500,False,True,2
"[1, -5, -3, -3, -4]","[1, 1]",-414508,False,True,2
"[1, -5, -3, 3, -2]","[1, 1]",-143852,False,True,2
"[1, -5, -2, -4, -4]","[1, 1]",-398128,False,True,2
"[1, -5, -2, -4, 2]","[1, 1]",-220684,False,True,2
